"gcr1.26","Points:0","Points:1","Points:2"
0.0034131,-15.2,17.576,10.886
0.0051935,-15.2,17.225,10.886
0.0073257,-15.2,16.818,10.886
0.0096027,-15.2,16.346,10.886
0.011742,-15.2,15.798,10.886
0.013466,-15.2,15.162,10.886
0.014581,-15.2,14.425,10.886
0.015014,-15.2,13.57,10.886
0.014791,-15.2,12.578,10.886
0.01399,-15.2,11.428,10.886
0.012783,-15.2,10.093,10.886
0.011624,-15.2,8.9013,10.886
0.010544,-15.2,7.8373,10.886
0.0095713,-15.2,6.8873,10.886
0.0086966,-15.2,6.039,10.886
0.0079041,-15.2,5.2817,10.886
0.0071775,-15.2,4.6055,10.886
0.0064993,-15.2,4.0017,10.886
0.0058552,-15.2,3.4627,10.886
0.0052558,-15.2,2.9814,10.886
0.0047216,-15.2,2.5516,10.886
0.0042583,-15.2,2.168,10.886
0.0038558,-15.2,1.8254,10.886
0.0035002,-15.2,1.5195,10.886
0.0031937,-15.2,1.2464,10.886
0.0029246,-15.2,1.0025,10.886
0.0026825,-15.2,0.78482,10.886
0.0024898,-15.2,0.59043,10.886
0.0023534,-15.2,0.41687,10.886
0.0022771,-15.2,0.2619,10.886
0.0023186,-15.2,0.12354,10.886
0.0023777,-15.2,0,10.886
3.7123e-09,-15.2,19.4,11.08
2.91e-08,-15.2,19.341,11.08
2.2509e-07,-15.2,19.272,11.08
1.1496e-06,-15.2,19.193,11.08
4.4557e-06,-15.2,19.1,11.08
1.4322e-05,-15.2,18.993,11.08
4.0433e-05,-15.2,18.869,11.08
0.00010339,-15.2,18.725,11.08
0.00024226,-15.2,18.558,11.08
0.00052165,-15.2,18.364,11.08
0.0010327,-15.2,18.139,11.08
0.0018809,-15.2,17.879,11.08
0.0031549,-15.2,17.576,11.08
0.0048801,-15.2,17.225,11.08
0.0069735,-15.2,16.818,11.08
0.0092247,-15.2,16.346,11.08
0.011328,-15.2,15.798,11.08
0.012963,-15.2,15.162,11.08
0.013897,-15.2,14.425,11.08
0.014054,-15.2,13.57,11.08
0.013523,-15.2,12.578,11.08
0.012498,-15.2,11.428,11.08
0.011238,-15.2,10.093,11.08
0.01017,-15.2,8.9013,11.08
0.0092421,-15.2,7.8373,11.08
0.008438,-15.2,6.8873,11.08
0.0077278,-15.2,6.039,11.08
0.0070861,-15.2,5.2817,11.08
0.0064931,-15.2,4.6055,11.08
0.0059316,-15.2,4.0017,11.08
0.0053887,-15.2,3.4627,11.08
0.0048748,-15.2,2.9814,11.08
0.0044098,-15.2,2.5516,11.08
0.0039997,-15.2,2.168,11.08
0.003639,-15.2,1.8254,11.08
0.0033172,-15.2,1.5195,11.08
0.0030366,-15.2,1.2464,11.08
0.0027884,-15.2,1.0025,11.08
0.0025647,-15.2,0.78482,11.08
0.002386,-15.2,0.59043,11.08
0.0022584,-15.2,0.41687,11.08
0.0021878,-15.2,0.2619,11.08
0.0022326,-15.2,0.12354,11.08
0.0022934,-15.2,0,11.08
1.9075e-09,-15.2,19.4,11.305
1.5485e-08,-15.2,19.341,11.305
1.2683e-07,-15.2,19.272,11.305
6.9521e-07,-15.2,19.193,11.305
2.9067e-06,-15.2,19.1,11.305
1.0046e-05,-15.2,18.993,11.305
3.0202e-05,-15.2,18.869,11.305
8.1286e-05,-15.2,18.725,11.305
0.00019856,-15.2,18.558,11.305
0.00044254,-15.2,18.364,11.305
0.00090227,-15.2,18.139,11.305
0.0016859,-15.2,17.879,11.305
0.0028916,-15.2,17.576,11.305
0.0045604,-15.2,17.225,11.305
0.0066249,-15.2,16.818,11.305
0.0088829,-15.2,16.346,11.305
0.011023,-15.2,15.798,11.305
0.012703,-15.2,15.162,11.305
0.013659,-15.2,14.425,11.305
0.013784,-15.2,13.57,11.305
0.013152,-15.2,12.578,11.305
0.011974,-15.2,11.428,11.305
0.01057,-15.2,10.093,11.305
0.0094304,-15.2,8.9013,11.305
0.0084839,-15.2,7.8373,11.305
0.007698,-15.2,6.8873,11.305
0.0070304,-15.2,6.039,11.305
0.0064457,-15.2,5.2817,11.305
0.0059175,-15.2,4.6055,11.305
0.0054241,-15.2,4.0017,11.305
0.0049495,-15.2,3.4627,11.305
0.0045006,-15.2,2.9814,11.305
0.0040929,-15.2,2.5516,11.305
0.0037294,-15.2,2.168,11.305
0.0034067,-15.2,1.8254,11.305
0.0031167,-15.2,1.5195,11.305
0.0028612,-15.2,1.2464,11.305
0.0026338,-15.2,1.0025,11.305
0.0024291,-15.2,0.78482,11.305
0.0022645,-15.2,0.59043,11.305
0.0021455,-15.2,0.41687,11.305
0.0020799,-15.2,0.2619,11.305
0.0021263,-15.2,0.12354,11.305
0.0021874,-15.2,0,11.305
1.0942e-09,-15.2,19.4,11.567
8.9314e-09,-15.2,19.341,11.567
7.5749e-08,-15.2,19.272,11.567
4.3765e-07,-15.2,19.193,11.567
1.9423e-06,-15.2,19.1,11.567
7.1189e-06,-15.2,18.993,11.567
2.256e-05,-15.2,18.869,11.567
6.3501e-05,-15.2,18.725,11.567
0.0001611,-15.2,18.558,11.567
0.00037102,-15.2,18.364,11.567
0.00077862,-15.2,18.139,11.567
0.0014927,-15.2,17.879,11.567
0.0026194,-15.2,17.576,11.567
0.0042153,-15.2,17.225,11.567
0.006232,-15.2,16.818,11.567
0.0084824,-15.2,16.346,11.567
0.010658,-15.2,15.798,11.567
0.012405,-15.2,15.162,11.567
0.013436,-15.2,14.425,11.567
